Fluid;Fluid Type;AINL_CONT_Gas_a;AINL_CONT_Gas_b;AINL_CONT_Liquid_a;AINL_CONT_Liquid_b;AIL_CONT_Gas_a;AIL_CONT_Gas_b;AIL_CONT_Liquid_a;AIL_CONT_Liquid_b;AINL_INST_Gas_a;AINL_INST_Gas_b;AINL_INST_Liquid_a;AINL_INST_Liquid_b;AIL_INST_Gas_a;AIL_INST_Gas_b;AIL_INST_Liquid_a;AIL_INST_Liquid_b
C1-C2;TYPE 0;21.83;0.96;;;143.2;0.92;;;12.46;0.67;;;473.9;0.63;;
C3-C4;TYPE 0;25.64;1;;;171.4;1;;;9.702;0.75;;;270.4;0.63;;
C5;TYPE 0;12.71;1;290.1;0.89;166.1;1;;;4.82;0.76;0.79;0.85;146.7;0.63;;
C6-C8;TYPE 0;13.49;0.96;96.88;0.89;169.7;1;252.8;0.92;4.216;0.67;2.186;0.78;147.2;0.63;31.89;0.54
C9-C12;TYPE 0;5.755;0.96;70.03;0.89;188.6;0.92;269.4;0.92;2.035;0.66;1.609;0.76;151;0.63;2.847;0.54
C13-C16;TYPE 0;;;34.36;0.89;;;539.4;0.9;;;0.242;0.88;;;4.843;0.88
C17-C25;TYPE 0;;;10.7;0.89;;;458;0.9;;;0.061;0.91;;;3.052;0.91
C25+;TYPE 0;;;6.196;0.89;;;303.6;0.9;;;0.016;0.99;;;0.833;0.99
Pyrophoric;TYPE 1;5.755;0.96;70.03;0.89;188.6;0.92;269.4;0.92;2.035;0.66;1.609;0.76;151;0.63;2.847;0.54
Aromatics;TYPE 1;12.76;0.963;66.01;0.883;261.9;0.937;56;0.268;2.889;0.686;0.027;0.935;83.68;0.713;0.273;0.935
Styrene;TYPE 1;12.76;0.963;66.01;0.883;261.9;0.937;56;0.268;2.889;0.686;0.027;0.935;83.68;0.713;0.273;0.935
HF;TYPE 0;;;;;;;;;;;;;;;;
Water;TYPE 0;;;;;;;;;;;;;;;;
Acid/Caustic;TYPE 0;;;;;;;;;;;;;;;;
Steam;TYPE 1;;;;;;;;;;;;;;;;
Methanol;TYPE 0;0;1.008;849.9;0.902;;;;;6.035;0.688;1.157;0.871;;;;
H2;TYPE 0;32.05;0.933;;;228.8;1;;;18.43;0.652;;;636.5;0.621;;
H2S;TYPE 0;10.65;1;;;73.25;0.94;;;41.43;0.63;;;191.5;0.63;;
CO;TYPE 1;5.491;0.991;;;;;;16.91;0.692;;;;;;;
DEE;TYPE 1;26.76;1.025;236.7;1.219;241.5;0.997;488.9;0.864;31.71;0.682;8.333;0.814;128.3;0.657;9.258;0.814
PO;TYPE 1;8.239;1.047;352.8;0.84;;;;;13.33;0.682;2.732;0.834;;;;
EEA;TYPE 1;0;0.946;79.66;0.835;;;;;1.825;0.687;0.03;0.924;;;;
EE;TYPE 1;7.107;0.969;8.142;0.8;;;;;25.36;0.66;0.029;0.927;;;;
EG;TYPE 1;5.042;0.947;59.96;0.869;;;;;1.435;0.687;0.027;0.922;;;;
EO;TYPE 1;11;1.105;;;;;;;34.7;0.665;;;;;;
